city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Lengau,48.0050,13.2178,Austria,AT,Oberösterreich,,4738,4738
Vorau,47.4056,15.8881,Austria,AT,Steiermark,,4731,4731
Bisamberg,48.3314,16.3614,Austria,AT,Niederösterreich,,4729,4729
Ottensheim,48.3333,14.1769,Austria,AT,Oberösterreich,,4721,4721
Bruck an der Großglocknerstraße,47.2667,12.8167,Austria,AT,Salzburg,,4699,4699
Parndorf,47.9667,16.8500,Austria,AT,Burgenland,,4689,4689
Puch bei Hallein,47.7167,13.0944,Austria,AT,Salzburg,,4675,4675
Matrei in Osttirol,47.0006,12.5411,Austria,AT,Tirol,,4667,4667
Haiming,47.2533,10.8814,Austria,AT,Tirol,,4659,4659
Oberwaltersdorf,47.9769,16.3253,Austria,AT,Niederösterreich,,4618,4618
Eichgraben,48.1728,15.9833,Austria,AT,Niederösterreich,,4614,4614
Koblach,47.3333,9.6000,Austria,AT,Vorarlberg,,4577,4577
Neudörfl,47.7978,16.2967,Austria,AT,Burgenland,,4564,4564
Altenberg bei Linz,48.3731,14.3503,Austria,AT,Oberösterreich,,4553,4553
Obergrafendorf,48.1508,15.5442,Austria,AT,Niederösterreich,,4544,4544
Grossgerungs,48.5742,14.9578,Austria,AT,Niederösterreich,,4506,4506
Kirchdorf,47.9067,14.0000,Austria,AT,Oberösterreich,minor,4502,4502
Kirchberg an der Raab,46.9872,15.7636,Austria,AT,Steiermark,,4488,4488
Peuerbach,48.3456,13.7742,Austria,AT,Oberösterreich,,4483,4483
Moosburg,46.6578,14.1736,Austria,AT,Kärnten,,4482,4482
Kundl,47.4698,11.9849,Austria,AT,Tirol,,4464,4464
Volders,47.2875,11.5653,Austria,AT,Tirol,,4464,4464
Treffen,46.6683,13.8556,Austria,AT,Kärnten,,4455,4455
Puchenau,48.3108,14.2414,Austria,AT,Oberösterreich,,4445,4445
Wies,46.7203,15.2719,Austria,AT,Steiermark,,4438,4438
Fulpmes,47.1533,11.3492,Austria,AT,Tirol,,4378,4378
Sankt Georgen im Attergau,47.9333,13.4922,Austria,AT,Oberösterreich,,4375,4375
Bad Sankt Leonhard im Lavanttal,46.9625,14.7947,Austria,AT,Kärnten,,4375,4375
Kössen,47.6686,12.4044,Austria,AT,Tirol,,4346,4346
Oberalm,47.7000,13.1000,Austria,AT,Salzburg,,4325,4325
Deutschfeistritz,47.1986,15.3361,Austria,AT,Steiermark,,4311,4311
Felixdorf,47.8833,16.2333,Austria,AT,Niederösterreich,,4292,4292
Fieberbrunn,47.4664,12.5500,Austria,AT,Tirol,,4287,4287
Golling an der Salzach,47.6000,13.1667,Austria,AT,Salzburg,,4271,4271
Schwanenstadt,48.0553,13.7758,Austria,AT,Oberösterreich,,4264,4264
Weyer Markt,47.8503,14.6586,Austria,AT,Oberösterreich,,4258,4258
Retz,48.7569,15.9513,Austria,AT,Niederösterreich,,4249,4249
Sankt Jakob,46.5478,14.0572,Austria,AT,Kärnten,,4245,4245
Passail,47.2817,15.5136,Austria,AT,Steiermark,,4245,4245
Sinabelkirchen,47.1036,15.8281,Austria,AT,Steiermark,,4223,4223
Wartberg ob der Aist,48.3472,14.5083,Austria,AT,Oberösterreich,,4222,4222
Altenmarkt im Pongau,47.3667,13.4167,Austria,AT,Salzburg,,4218,4218
Ried in der Riedmark,48.2711,14.5456,Austria,AT,Oberösterreich,,4210,4210
Scheibbs,48.0000,15.1667,Austria,AT,Niederösterreich,minor,4196,4196
Anif,47.7500,13.0667,Austria,AT,Salzburg,,4195,4195
Hallwang,47.8500,13.0667,Austria,AT,Salzburg,,4189,4189
Fügen,47.3500,11.8333,Austria,AT,Tirol,,4169,4169
Bad Schallerbach,48.2289,13.9253,Austria,AT,Oberösterreich,,4169,4169
Groß Sankt Florian,46.8244,15.3186,Austria,AT,Steiermark,,4150,4150
Wieselburg,48.1333,15.1389,Austria,AT,Niederösterreich,,4143,4143
Sankt Georgen an der Gusen,48.2717,14.4483,Austria,AT,Oberösterreich,,4119,4119
Eferding,48.3083,14.0203,Austria,AT,Oberösterreich,minor,4100,4100
Hartkirchen,48.3639,14.0028,Austria,AT,Oberösterreich,,4099,4099
Anger,47.2736,15.6900,Austria,AT,Steiermark,,4098,4098
Jennersdorf,46.9378,16.1400,Austria,AT,Burgenland,minor,4096,4096
Walding,48.3503,14.1622,Austria,AT,Oberösterreich,,4095,4095
Sankt Johann ob Hohenburg,47.0000,15.2897,Austria,AT,Steiermark,,4091,4091
Alberndorf in der Riedmark,48.4067,14.4169,Austria,AT,Oberösterreich,,4083,4083
Sankt Margarethen an der Raab,47.0500,15.7500,Austria,AT,Steiermark,,4074,4074
Bleiburg,46.5900,14.7989,Austria,AT,Kärnten,,4072,4072
Mannersdorf am Leithagebirge,47.9667,16.6000,Austria,AT,Niederösterreich,,4069,4069
Götzens,47.2361,11.3114,Austria,AT,Tirol,,4062,4062
Luftenberg,48.2756,14.4292,Austria,AT,Oberösterreich,,4057,4057
Eisenerz,47.5500,14.8833,Austria,AT,Steiermark,,4048,4048
Buchkirchen,48.2239,14.0200,Austria,AT,Oberösterreich,,4038,4038
Lamprechtshausen,47.9667,12.9333,Austria,AT,Salzburg,,4037,4037
Mäder,47.3500,9.6167,Austria,AT,Vorarlberg,,4031,4031
Hinterbrühl,48.0833,16.2333,Austria,AT,Niederösterreich,,4029,4029
Heidenreichstein,48.8667,15.1167,Austria,AT,Niederösterreich,,4010,4010
Lanzenkirchen,47.7472,16.2472,Austria,AT,Niederösterreich,,3983,3983
Gössendorf,46.9958,15.4878,Austria,AT,Steiermark,,3981,3981
Badgastein,47.1147,13.1356,Austria,AT,Salzburg,,3980,3980
Thaur,47.2950,11.4719,Austria,AT,Tirol,,3979,3979
Tiefgraben,47.8586,13.3628,Austria,AT,Oberösterreich,,3974,3974
Harmannsdorf,48.3917,16.3711,Austria,AT,Niederösterreich,,3951,3951
Schwarzach,47.4447,9.7631,Austria,AT,Vorarlberg,,3949,3949
Sankt Stefan im Rosental,46.9023,15.7118,Austria,AT,Steiermark,,3947,3947
Gaweinstal,48.4781,16.5892,Austria,AT,Niederösterreich,,3947,3947
Kirchdorf in Tirol,47.5583,12.4475,Austria,AT,Tirol,,3936,3936
Bramberg am Wildkogel,47.2728,12.3481,Austria,AT,Salzburg,,3936,3936
Sierndorf,48.4286,16.1675,Austria,AT,Niederösterreich,,3933,3933
Sankt Veit an der Gölsen,48.0333,15.6667,Austria,AT,Niederösterreich,,3915,3915
Sankt Gilgen,47.7667,13.3667,Austria,AT,Salzburg,,3915,3915
Pöchlarn,48.2000,15.2000,Austria,AT,Niederösterreich,,3912,3912
Ebergassing,48.0458,16.5161,Austria,AT,Niederösterreich,,3904,3904
Pucking,48.1892,14.1836,Austria,AT,Oberösterreich,,3904,3904
Gumpoldskirchen,48.0442,16.2803,Austria,AT,Niederösterreich,,3899,3899
Schalchen,48.1189,13.1569,Austria,AT,Oberösterreich,,3877,3877
Fußach,47.4783,9.6639,Austria,AT,Vorarlberg,,3871,3871
Langenwang,47.5675,15.6192,Austria,AT,Steiermark,,3868,3868
Mayrhofen,47.1667,11.8667,Austria,AT,Tirol,,3858,3858
Pinsdorf,47.9303,13.7669,Austria,AT,Oberösterreich,,3849,3849
Inzing,47.2722,11.2000,Austria,AT,Tirol,,3847,3847
Kumberg,47.1594,15.5342,Austria,AT,Steiermark,,3843,3843
Gründberg,47.9706,14.2622,Austria,AT,Oberösterreich,,3840,3840
Maria Saal,46.6808,14.3486,Austria,AT,Kärnten,,3835,3835
Gols,47.8978,16.9089,Austria,AT,Burgenland,,3835,3835
Sonntagberg,47.9961,14.7622,Austria,AT,Niederösterreich,,3829,3829
Grossarl,47.2167,13.1833,Austria,AT,Salzburg,,3825,3825
Schruns,47.0803,9.9192,Austria,AT,Vorarlberg,,3818,3818
Mariazell,47.7731,15.3164,Austria,AT,Steiermark,,3813,3813
Aschbach Markt,48.0667,14.7500,Austria,AT,Niederösterreich,,3811,3811
Obdach,47.0667,14.7000,Austria,AT,Steiermark,,3810,3810
Loosdorf,48.2006,15.4011,Austria,AT,Niederösterreich,,3794,3794
Piesendorf,47.2667,12.7167,Austria,AT,Salzburg,,3790,3790
Sankt Veit im Pongau,47.3306,13.1556,Austria,AT,Salzburg,,3788,3788
Hausleiten,48.3947,16.1042,Austria,AT,Niederösterreich,,3784,3784
Gföhl,48.5167,15.4833,Austria,AT,Niederösterreich,,3783,3783
Steindorf am Ossiacher See,46.6983,14.0061,Austria,AT,Kärnten,,3771,3771
Sankt Martin im Mühlkreis,48.4167,14.0392,Austria,AT,Oberösterreich,,3757,3757
Mondsee,47.8567,13.3517,Austria,AT,Oberösterreich,,3734,3734
Anthering,47.8667,13.0167,Austria,AT,Salzburg,,3734,3734
Waizenkirchen,48.3303,13.8583,Austria,AT,Oberösterreich,,3729,3729
Hainfeld,48.0333,15.7667,Austria,AT,Niederösterreich,,3726,3726
Mieming,47.3000,10.9833,Austria,AT,Tirol,,3698,3698
Naarn im Machland,48.2267,14.6089,Austria,AT,Oberösterreich,,3690,3690
Sankt Marein bei Graz,47.0156,15.6875,Austria,AT,Steiermark,,3675,3675
Haidershofen,48.0767,14.4597,Austria,AT,Niederösterreich,,3670,3670
Kirchberg am Wagram,48.4303,15.8981,Austria,AT,Niederösterreich,,3670,3670
Mauerbach,48.2417,16.1764,Austria,AT,Niederösterreich,,3661,3661
Güssing,47.0592,16.3231,Austria,AT,Burgenland,minor,3655,3655
Molln,47.8836,14.2589,Austria,AT,Oberösterreich,,3653,3653
Westendorf,47.4000,12.2000,Austria,AT,Tirol,,3652,3652
Sankt Georgen am Längsee,46.7800,14.4319,Austria,AT,Kärnten,,3648,3648
Strobl,47.7191,13.4828,Austria,AT,Salzburg,,3645,3645
Trumau,47.9953,16.3442,Austria,AT,Niederösterreich,,3640,3640
Frankenmarkt,47.9836,13.4233,Austria,AT,Oberösterreich,,3636,3636
Gratwein,47.1294,15.3178,Austria,AT,Steiermark,,3635,3635
Söll,47.5036,12.1919,Austria,AT,Tirol,,3631,3631
Murau,47.1119,14.1731,Austria,AT,Steiermark,,3629,3629
Sankt Lorenzen im Mürztal,47.4800,15.3708,Austria,AT,Steiermark,,3626,3626
Steinach am Brenner,47.0833,11.4667,Austria,AT,Tirol,,3622,3622
Maishofen,47.3500,12.8000,Austria,AT,Salzburg,,3601,3601
Straden,46.8058,15.8711,Austria,AT,Steiermark,,3601,3601
Frauenstein,46.8136,14.3675,Austria,AT,Kärnten,,3597,3597
Sankt Stefan ob Stainz,46.9286,15.2589,Austria,AT,Steiermark,,3571,3571
Gaspoltshofen,48.1444,13.7364,Austria,AT,Oberösterreich,,3566,3566
Hof bei Salzburg,47.8167,13.2167,Austria,AT,Salzburg,,3562,3562
Adnet,47.6667,13.1167,Austria,AT,Salzburg,,3557,3557
Pyhra,48.1500,15.6833,Austria,AT,Niederösterreich,,3553,3553
Pfaffstätten,48.0167,16.2661,Austria,AT,Niederösterreich,,3551,3551
Mureck,46.7086,15.7728,Austria,AT,Steiermark,,3551,3551
Egg,47.4319,9.8956,Austria,AT,Vorarlberg,,3547,3547
Eggenburg,48.6431,15.8186,Austria,AT,Niederösterreich,,3540,3540
Gars am Kamp,48.5992,15.6633,Austria,AT,Niederösterreich,,3534,3534
Grosspetersdorf,47.2386,16.3186,Austria,AT,Burgenland,,3531,3531
Sankt Michael im Lungau,47.1000,13.6333,Austria,AT,Salzburg,,3520,3520
Schwarzach im Pongau,47.3222,13.1500,Austria,AT,Salzburg,,3515,3515
Ardagger Markt,48.1667,14.8167,Austria,AT,Niederösterreich,,3511,3511
Theresienfeld,47.8500,16.2167,Austria,AT,Niederösterreich,,3485,3485
Breitenbach am Inn,47.4789,11.9733,Austria,AT,Tirol,,3475,3475
Koppl,47.8081,13.1556,Austria,AT,Salzburg,,3472,3472
Griffen,46.7044,14.7328,Austria,AT,Kärnten,,3466,3466
Gramatneusiedl,48.0219,16.4925,Austria,AT,Niederösterreich,,3461,3461
Millstatt,46.8042,13.5806,Austria,AT,Kärnten,,3460,3460
Lannach,46.9433,15.3331,Austria,AT,Steiermark,,3459,3459
Traisen,48.0439,15.6089,Austria,AT,Niederösterreich,,3453,3453
Ziersdorf,48.5333,15.9333,Austria,AT,Niederösterreich,,3446,3446
Ybbsitz,47.9483,14.8939,Austria,AT,Niederösterreich,,3445,3445
Seefeld in Tirol,47.3294,11.1892,Austria,AT,Tirol,,3440,3440
Bad Fischau,47.8333,16.1667,Austria,AT,Niederösterreich,,3440,3440
Ludesch,47.1944,9.7817,Austria,AT,Vorarlberg,,3437,3437
Lambach,48.0944,13.8775,Austria,AT,Oberösterreich,,3435,3435
Weisskirchen an der Traun,48.1647,14.1283,Austria,AT,Oberösterreich,,3430,3430
Neufeld an der Leitha,47.8678,16.3767,Austria,AT,Burgenland,,3418,3418
Zams,47.1578,10.5894,Austria,AT,Tirol,,3409,3409
Seitenstetten Markt,48.0350,14.6542,Austria,AT,Niederösterreich,,3394,3394
Trieben,47.4864,14.4856,Austria,AT,Steiermark,,3390,3390
Kronstorf,48.1428,14.4667,Austria,AT,Oberösterreich,,3389,3389
Behamberg,48.0350,14.4971,Austria,AT,Niederösterreich,,3387,3387
Angern an der March,48.3833,16.8333,Austria,AT,Niederösterreich,,3384,3384
Ternberg,47.9464,14.3575,Austria,AT,Oberösterreich,,3367,3367
Eberschwang,48.1569,13.5603,Austria,AT,Oberösterreich,,3351,3351
Liebenfels,46.7381,14.2869,Austria,AT,Kärnten,,3329,3329
Semriach,47.2175,15.4033,Austria,AT,Steiermark,,3323,3323
Göfis,47.2331,9.6331,Austria,AT,Vorarlberg,,3312,3312
Sankt Paul im Levanttal,46.7022,14.8686,Austria,AT,Kärnten,,3303,3303
Ostermiething,48.0472,12.8306,Austria,AT,Oberösterreich,,3296,3296
Hausmannstätten,46.9908,15.5086,Austria,AT,Steiermark,,3288,3288
Pirka,46.9977,15.3945,Austria,AT,Steiermark,,3288,3288
Kaltenleutgeben,48.1153,16.1986,Austria,AT,Niederösterreich,,3276,3276
Bürs,47.1333,9.8000,Austria,AT,Vorarlberg,,3275,3275
Ligist,46.9939,15.2106,Austria,AT,Steiermark,,3275,3275
Mattsee,47.9667,13.0833,Austria,AT,Salzburg,,3263,3263
Leogang,47.4167,12.7500,Austria,AT,Salzburg,,3263,3263
Weidling,48.2906,16.3086,Austria,AT,Niederösterreich,,3258,3258
Katzelsdorf,47.7789,16.2736,Austria,AT,Niederösterreich,,3257,3257
Gamlitz,46.7203,15.5533,Austria,AT,Steiermark,,3248,3248
Oberaich,47.4000,15.2167,Austria,AT,Steiermark,,3243,3243
Hochburg-Ach,48.1306,12.8778,Austria,AT,Oberösterreich,,3236,3236
Kirchberg an der Pielach,48.0167,15.4333,Austria,AT,Niederösterreich,,3225,3225
Umhausen,47.1167,10.9167,Austria,AT,Tirol,,3220,3220
Mank,48.1108,15.3411,Austria,AT,Niederösterreich,,3219,3219
Ernstbrunn,48.5261,16.3614,Austria,AT,Niederösterreich,,3213,3213
Dietach,48.0919,14.4161,Austria,AT,Oberösterreich,,3212,3212
Oberneukirchen,48.4647,14.2272,Austria,AT,Oberösterreich,,3202,3202
Poggersdorf,46.6500,14.4500,Austria,AT,Kärnten,,3193,3193
Oberpullendorf,47.5000,16.5167,Austria,AT,Burgenland,minor,3188,3188
Großweikersdorf,48.4725,15.9800,Austria,AT,Niederösterreich,,3180,3180
Eben am Achensee,47.4228,11.7519,Austria,AT,Tirol,,3180,3180
Kierling,48.3083,16.2742,Austria,AT,Niederösterreich,,3178,3178
Kaprun,47.2725,12.7594,Austria,AT,Salzburg,,3177,3177
Ebenfurth,47.8758,16.3736,Austria,AT,Niederösterreich,,3170,3170
Enzersdorf an der Fischa,48.0794,16.6067,Austria,AT,Niederösterreich,,3163,3163
Neumarkt im Mühlkreis,48.4278,14.4833,Austria,AT,Oberösterreich,,3163,3163
Kittsee,48.0667,17.0667,Austria,AT,Burgenland,,3162,3162
Krenglbach,48.2039,13.9569,Austria,AT,Oberösterreich,,3158,3158
Bad Radkersburg,46.6897,15.9886,Austria,AT,Steiermark,,3156,3156
Sankt Florian am Inn,48.4333,13.6000,Austria,AT,Oberösterreich,,3150,3150
Pinggau,47.4439,16.0642,Austria,AT,Steiermark,,3150,3150
Sölden,46.9667,11.0000,Austria,AT,Tirol,,3145,3145
Arzl im Pitztal,47.2083,10.7625,Austria,AT,Tirol,,3134,3134
Grafenwörth,48.4067,15.7786,Austria,AT,Niederösterreich,,3132,3132
Paldau,46.9407,15.7928,Austria,AT,Steiermark,,3130,3130
Mühldorf bei Feldbach,46.9333,15.9000,Austria,AT,Steiermark,,3125,3125
Gaming,47.9333,15.0833,Austria,AT,Niederösterreich,,3121,3121
Klaus,47.3086,9.6467,Austria,AT,Vorarlberg,,3118,3118
Stallhofen,47.0500,15.2167,Austria,AT,Steiermark,,3118,3118
Michelhausen,48.2897,15.9375,Austria,AT,Niederösterreich,,3113,3113
Königswiesen,48.4078,14.8414,Austria,AT,Oberösterreich,,3113,3113
Faistenau,47.7667,13.2167,Austria,AT,Salzburg,,3103,3103
Schlüsslberg,48.2194,13.8725,Austria,AT,Oberösterreich,,3091,3091
Deutschkreutz,47.6017,16.6281,Austria,AT,Burgenland,,3088,3088
Katsdorf,48.3169,14.4742,Austria,AT,Oberösterreich,,3086,3086
Sankt Pantaleon,48.0072,12.8956,Austria,AT,Oberösterreich,,3085,3085
Wagrain,47.3333,13.3000,Austria,AT,Salzburg,,3085,3085
Grafendorf bei Hartberg,47.3403,15.9908,Austria,AT,Steiermark,,3082,3082
Tragwein,48.3306,14.6222,Austria,AT,Oberösterreich,,3082,3082
Grafenegg,48.4300,15.7475,Austria,AT,Niederösterreich,,3061,3061
Sankt Michael in Obersteiermark,47.3386,15.0183,Austria,AT,Steiermark,,3060,3060
Sankt Martin im Sulmtal,46.7500,15.3000,Austria,AT,Steiermark,,3059,3059
Maria Anzbach,48.1833,15.9333,Austria,AT,Niederösterreich,,3055,3055
Rechnitz,47.3069,16.4383,Austria,AT,Burgenland,,3054,3054
Rauris,47.2292,12.9944,Austria,AT,Salzburg,,3044,3044
Oberperfuss,47.2500,11.2500,Austria,AT,Tirol,,3043,3043
Wallern an der Trattnach,48.2317,13.9486,Austria,AT,Oberösterreich,,3039,3039
Ennsdorf,48.2125,14.4892,Austria,AT,Niederösterreich,,3031,3031
Werfen,47.4750,13.1889,Austria,AT,Salzburg,,3027,3027
Fliess,47.1200,10.6275,Austria,AT,Tirol,,3019,3019
Gröbming,47.4456,13.9011,Austria,AT,Steiermark,,3013,3013
Hornstein,47.8808,16.4456,Austria,AT,Burgenland,,3012,3012
Markt Piesting,47.8728,16.1289,Austria,AT,Niederösterreich,,3007,3007
Köttmannsdorf,46.5614,14.2339,Austria,AT,Kärnten,,3004,3004
Aurolzmünster,48.2483,13.4567,Austria,AT,Oberösterreich,,3000,3000
Göllersdorf,48.4914,16.1206,Austria,AT,Niederösterreich,,2999,2999
Wartberg an der Krems,47.9900,14.1169,Austria,AT,Oberösterreich,,2993,2993
Münchendorf,48.0300,16.3786,Austria,AT,Niederösterreich,,2992,2992
Eisbach,47.1369,15.2853,Austria,AT,Steiermark,,2991,2991
Sankt Leonhard am Forst,48.1417,15.2833,Austria,AT,Niederösterreich,,2989,2989
Biedermannsdorf,48.0834,16.3458,Austria,AT,Niederösterreich,,2988,2988
Tulbing,48.2875,16.1167,Austria,AT,Niederösterreich,,2971,2971
Brixlegg,47.4292,11.8775,Austria,AT,Tirol,,2970,2970
Sankt Ulrich bei Steyr,48.0217,14.4242,Austria,AT,Oberösterreich,,2969,2969
Elixhausen,47.8667,13.0667,Austria,AT,Salzburg,,2963,2963
Siegendorf im Burgenland,47.7822,16.5406,Austria,AT,Burgenland,,2963,2963
Munderfing,48.0667,13.1833,Austria,AT,Oberösterreich,,2963,2963
Weissenstein,46.6822,13.7236,Austria,AT,Kärnten,,2961,2961
Marchegg,48.2783,16.9092,Austria,AT,Niederösterreich,,2960,2960
Oberwölz Stadt,47.2028,14.2808,Austria,AT,Steiermark,,2960,2960
