NUTS_NAME,Population (people),Color,Inset,Label
Mecklenburg-Vorpommern,1609675,,,DE80
Mellersta Norrland,375733,,,SE32
Merseyside,1553324,,,UKD5
Midi-Pyrénées,3071427,,,FRJ2
Midtjylland,1320678,,,DK04
Mittelfranken,1770401,,,DE25
Molise,303790,,,ITF2
Moravskoslezsko,1203299,,,CZ08
Münster,2623619,,,DEA3
Niederbayern,1238528,,,DE22
Niederösterreich,1677542,,,AT12
Noord-Brabant,2544806,,,NL41
Noord-Holland,2853359,,,NL32
Nord-Est,3198564,,,RO21
Nord-Norge,589755,,,NO07
Nord-Pas de Calais,486450,,,FRE1
Nord-Vest,4066719,,,RO11
Nordjylland,2552112,,,DK03
Nordwestschweiz,1161105,,,CH03
Norra Mellansverige,855220,,,SE31
Norte,3572583,,,PT11
North Eastern Scotland,495365,,,UKM5
North Yorkshire,824054,,,UKE2
Northern and Western,867947,,,IE06
Northern Ireland,,,,UKN0
Northumberland and Tyne and Wear,1455437,,,UKC2
Nyugat-Dunántúl,989343,,,HU22
Oberbayern,4686163,,,DE21
Oberfranken,1067482,,,DE24
Oberösterreich,1482095,,,AT31
Oberpfalz,1109269,,,DE23
Opolskie,946038,,,PL52
Oslo og Viken,1949394,,,NO08
Östra Mellansverige,1708813,,,SE12
Ostschweiz,1176321,,,CH05
Outer London — East and North East,1940638,,,UKI5
Outer London — South,1316772,,,UKI6
Outer London — West and North West,2103443,,,UKI7
Overijssel,1156431,,,NL23
Övre Norrland,520651,,,SE33
País Vasco,2177880,,,ES21
Panonska Hrvatska,1046327,,,HR04
Pays de la Loire,3849977,,,FRG0
Pest,1278874,,,HU52
Picardie,1929189,,,FRE2
Piemonte,4328565,,,ITC1
Podkarpackie,2086135,,,PL82
Podlaskie,1152074,,,PL21
Pohjois- ja Itä-Suomi,1284638,,,FI1C
Poitou-Charentes,1812353,,,FRI3
Pomorskie,2305077,,,PL63
Praha,1308632,,,CZ01
Principado de Asturias,1022205,,,ES12
Prov. Antwerpen,1860470,,,BE21
Prov. Brabant Wallon,404270,,,BE31
Prov. Hainaut,1346082,,,BE32
Prov. Liège,1110068,,,BE33
Prov. Limburg (BE),875842,,,BE22
Prov. Luxembourg (BE),286685,,,BE34
Prov. Namur,496891,,,BE35
Prov. Oost-Vlaanderen,1516283,,,BE23
Prov. Vlaams-Brabant,1146643,,,BE24
Prov. West-Vlaanderen,1196995,,,BE25
Provence-Alpes-Côte d’Azur,5116360,,,FRL0
Provincia Autonoma di Bolzano/Bozen,530313,,,ITH1
Provincia Autonoma di Trento,543721,,,ITH2
Puglia,3975528,,,ITF4
Qender,1170142,,,AL02
Região Autónoma da Madeira,253923,,,PT30
Região Autónoma dos Açores,242201,,,PT20
Région de Bruxelles-Capitale/ Brussels Hoofdstedelijk Gewest,1226329,,,BE10
Región de Murcia,1487663,,,ES62
Région lémanique,1642580,,,CH01
Rheinhessen-Pfalz,2057952,,,DEB3
Rhône-Alpes,6660101,,,FRK2
Saarland,990509,,,Dec-00
Sachsen-Anhalt,2208321,,,DEE0
Salzburg,555221,,,AT32
"Samsun, Tokat, Çorum, Amasya",2822353,,,TR83
"Şanlıurfa, Diyarbakır",3768205,,,TRC4
Sardegna,1622257,,,ITG0
Schleswig-Holstein,2896712,,,DEF0
Schwaben,1887754,,,DE27
Severovýchod,1513693,,,CZ05
Severozápad,1115685,,,CZ04
Shropshire and Staffordshire,1626956,,,UKG2
Sicilia,4908548,,,ITG1
Sjælland,836738,,,DK02
Sjeverna Hrvatska,812067,,,HR06
Śląskie,4488998,,,PL22
Småland med öarna,864630,,,SE21
Sostinės regionas,810538,,,LT01
South Yorkshire,1404971,,,UKE3
Southern,1624381,,,IE05
Southern Scotland,947186,,,UKM8
Steiermark,1243052,,,AT22
Stockholm,2344124,,,SE11
Stredné Slovensko,1339242,,,SK03
Střední Čechy,1369332,,,CZ02
Střední Morava,1215413,,,CZ07
Stuttgart,4143418,,,DE11
Sud-Est,2396171,,,RO22
Sud-Muntenia,2929832,,,RO31
Sud-Vest Oltenia,1926860,,,RO42
"Surrey, East and West Sussex",2909838,,,UKJ2
Świętokrzyskie,1226243,,,PL83
Syddanmark,1223348,,,DK05
Sydsverige,1521848,,,SE22
Tees Valley and Durham,1201543,,,UKC1
"Tekirdağ, Edirne, Kırklareli",1802315,,,TR21
Thüringen,2143145,,,DEG0
Ticino,353343,,,CH07
Tirol,754705,,,AT33
Toscana,3701343,,,ITI1
"Trabzon, Ordu, Giresun, Rize, Artvin, Gümüşhane",2719113,,,TR81
Trier,531007,,,DEB2
Trøndelag,462032,,,NO06
Tübingen,1856517,,,DE14
Umbria,873744,,,ITI2
Unterfranken,1317124,,,DE26
Utrecht,1306912,,,NL31
Valle d’Aosta/Vallée d’Aoste,125653,,,ITC2
"Van, Muş, Bitlis, Hakkari",2167642,,,TRB2
Västsverige,2039166,,,SE23
Veneto,4884590,,,ITH3
Veri,813758,,,AL03
Vest,1777474,,,RO12
Vestlandet,1387010,,,NO0A
Vidurio ir vakarų Lietuvos regionas,1983646,,,LT02
Vorarlberg,394297,,,AT34
Východné Slovensko,1625436,,,SK04
Vzhodna Slovenija,1094435,,,SI04
Warmińsko-mazurskie,1404441,,,PL62
Warszawski stołeczny,3053104,,,PL91
Weser-Ems,2525333,,,DE94
West Central Scotland,1541998,,,UKM3
West Midlands,2928377,,,UKG3
West Wales and The Valleys,1968383,,,UKL2
West Yorkshire,2324560,,,UKE4
Wielkopolskie,3473172,,,PL41
Wien,1897491,,,AT13
Zachodniopomorskie,1675502,,,PL42
Zahodna Slovenija,986473,,,SI03
Západné Slovensko,1826145,,,SK02
Zeeland,383032,,,NL43
Zentralschweiz,813056,,,CH06
"Zonguldak, Karabük, Bartın",1046711,,,TR84
Zuid-Holland,3709139,,,NL33
Zürich,1520968,,,CH07
Βόρειο Αιγαίο,221098,,,EL41
Δυτική Ελλάδα,655189,,,EL63
Δυτική Μακεδονία,267008,,,EL53
Ήπειρος,333696,,,EL54
Θεσσαλία,718640,,,EL61
Ιόνια Νησιά,203869,,,EL62
Κεντρική Μακεδονία,1873777,,,EL52
Κρήτη,634930,,,EL43
Κύπρος,875899,,,CY00
Νότιο Αιγαίο,344027,,,EL42
Πελοπόννησος,574447,,,EL65
Στερεά Ελλάδα,555960,,,EL64
Београдски регион,1692768,,,RS22
Регион Војводине,1834430,,,RS21
Регион Јужне и Источне Србије,1463882,,,RS23
Регион Шумадије и Западне Србије,1880467,,,RS24
Северен централен,784168,,,BG31
Северна Македонија,2077132,,,MK00
Северозападен,742304,,,BG32
Североизточен,929035,,,BG33
Црна Гора,622182,,,ME00
Югозападен,2102205,,,BG41
Югоизточен,1032079,,,BG34
Южен централен,1410248,,,BG42
